,treatment,age,education,Black,Hispanic,married,nodegree,RE75,RE78
0,0.0,24.0,12.0,0.0,0.0,0.0,0.0,13427.419,19210.445
1,0.0,49.0,10.0,0.0,0.0,1.0,1.0,23095.161,24086.943
2,0.0,17.0,11.0,0.0,0.0,0.0,1.0,114.5806,2222.501
3,0.0,43.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0
4,0.0,39.0,10.0,0.0,0.0,1.0,1.0,6493.5,25564.67
5,0.0,44.0,8.0,0.0,0.0,1.0,1.0,18798.387,28076.805
6,0.0,19.0,12.0,1.0,0.0,0.0,0.0,10059.82,1556.046
7,0.0,39.0,12.0,0.0,0.0,1.0,0.0,14748.68,21926.51
8,0.0,30.0,12.0,0.0,0.0,1.0,0.0,3222.5806,3250.9985
9,0.0,23.0,8.0,0.0,0.0,1.0,1.0,0.0,0.0
10,1.0,27.0,12.0,1.0,0.0,0.0,0.0,357.9499,22163.25
11,0.0,27.0,14.0,0.0,0.0,1.0,0.0,0.0,0.0
12,0.0,34.0,8.0,0.0,0.0,1.0,1.0,15534.63,7342.823
13,0.0,32.0,9.0,0.0,0.0,1.0,1.0,8550.581,0.0
14,0.0,21.0,15.0,0.0,0.0,0.0,0.0,5116.742,10890.84
15,0.0,20.0,12.0,1.0,0.0,0.0,0.0,16372.5,29554.531
16,0.0,21.0,12.0,0.0,0.0,0.0,0.0,15353.81,21023.62
17,0.0,26.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.0,16.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0
19,0.0,23.0,13.0,0.0,0.0,1.0,0.0,25243.55,25564.67
20,0.0,49.0,10.0,0.0,0.0,1.0,1.0,0.0,0.0
21,0.0,31.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
22,0.0,22.0,12.0,0.0,0.0,0.0,0.0,68.03226,0.0
23,0.0,30.0,16.0,0.0,0.0,1.0,0.0,2554.79,15566.37
24,0.0,25.0,14.0,0.0,0.0,0.0,0.0,32225.806,31032.258
25,0.0,27.0,7.0,0.0,0.0,1.0,1.0,15072.73,6878.817
26,0.0,24.0,17.0,0.0,0.0,1.0,0.0,7979.468,13238.95
27,0.0,25.0,9.0,0.0,1.0,0.0,1.0,10589.76,7539.361
28,0.0,55.0,12.0,0.0,0.0,1.0,0.0,33206.903,31771.121
29,0.0,26.0,14.0,0.0,0.0,1.0,0.0,22020.97,20033.54
30,0.0,18.0,11.0,1.0,0.0,0.0,1.0,1623.823,20243.38
31,0.0,40.0,11.0,1.0,0.0,1.0,1.0,0.0,0.0
32,0.0,52.0,12.0,0.0,0.0,1.0,0.0,19405.31,25564.67
33,0.0,25.0,15.0,0.0,0.0,0.0,0.0,14582.18,15060.99
34,0.0,45.0,12.0,0.0,0.0,1.0,0.0,12858.1,17076.61
35,0.0,21.0,12.0,0.0,0.0,0.0,0.0,4110.581,1687.564
36,1.0,26.0,11.0,1.0,0.0,0.0,1.0,0.0,17230.96
37,0.0,23.0,12.0,1.0,0.0,1.0,0.0,12532.258,11821.813
38,0.0,31.0,12.0,1.0,0.0,1.0,0.0,19466.177,20259.631
39,0.0,19.0,12.0,0.0,0.0,0.0,0.0,646.3065,15375.75
40,0.0,20.0,12.0,1.0,0.0,0.0,0.0,12396.19,17765.23
41,0.0,22.0,12.0,0.0,0.0,1.0,0.0,11270.08,0.0
42,0.0,46.0,10.0,0.0,0.0,1.0,1.0,7161.2903,10166.759
43,0.0,33.0,12.0,0.0,0.0,1.0,0.0,24688.55,25564.67
44,0.0,54.0,12.0,0.0,0.0,1.0,0.0,0.0,0.0
45,0.0,20.0,13.0,1.0,0.0,0.0,0.0,4388.081,25564.67
46,0.0,26.0,14.0,0.0,0.0,0.0,0.0,409.9839,5232.63
47,0.0,18.0,11.0,0.0,1.0,0.0,1.0,3039.968,2027.441
48,0.0,25.0,8.0,1.0,0.0,1.0,1.0,515.8274,14281.31
49,0.0,51.0,18.0,0.0,0.0,1.0,0.0,25243.55,25564.67
50,0.0,49.0,8.0,0.0,0.0,1.0,1.0,22916.129,16254.992
51,0.0,21.0,12.0,0.0,0.0,1.0,0.0,7616.032,14527.53
52,0.0,32.0,4.0,0.0,0.0,1.0,1.0,1378.548,0.0
53,0.0,44.0,12.0,0.0,0.0,1.0,0.0,25959.677,26746.851
54,0.0,25.0,13.0,1.0,0.0,0.0,0.0,3751.048,1672.776
55,0.0,51.0,12.0,0.0,0.0,1.0,0.0,22382.61,9682.065
56,0.0,21.0,10.0,0.0,0.0,1.0,1.0,16112.903,20141.413
